accuracy,cohens_h,target_power,min_n
0.51,0.020001,0.5,9603
0.51,0.020001,0.8,19620
0.51,0.020001,0.9,26266
0.538,0.076073,0.5,664
0.538,0.076073,0.8,1357
0.538,0.076073,0.9,1816
0.545,0.090122,0.5,473
0.545,0.090122,0.8,967
0.545,0.090122,0.9,1294
0.5545,0.109217,0.5,323
0.5545,0.109217,0.8,659
0.5545,0.109217,0.9,881
0.5755,0.15158,0.5,168
0.5755,0.15158,0.8,342
0.5755,0.15158,0.9,458
0.6,0.201358,0.5,95
0.6,0.201358,0.8,194
0.6,0.201358,0.9,260
0.645,0.294227,0.5,45
0.645,0.294227,0.8,91
0.645,0.294227,0.9,122
0.714,0.442279,0.5,20
0.714,0.442279,0.8,41
0.714,0.442279,0.9,54
