metric_group,sector,window,signal_scope,accuracy,n,n_correct,p_value_vs_50pct,min_n_for_significance,hedge_density_mean,hedge_density_median,hedge_density_std,anova_p_value,kruskal_p_value
directional_accuracy_by_sector_window,Consumer,1d,all_directional,0.5806,31,18.0,0.236565,106.0,,,,,
directional_accuracy_by_sector_window,Consumer,3d,all_directional,0.7097,31,22.0,0.014725,18.0,,,,,
directional_accuracy_by_sector_window,Consumer,5d,all_directional,0.6452,31,20.0,0.074806,35.0,,,,,
directional_accuracy_by_sector_window,Energy,1d,all_directional,0.5455,11,6.0,0.5,331.0,,,,,
directional_accuracy_by_sector_window,Energy,3d,all_directional,0.5455,11,6.0,0.5,331.0,,,,,
directional_accuracy_by_sector_window,Energy,5d,all_directional,0.3636,11,4.0,0.886719,,,,,,
directional_accuracy_by_sector_window,Financials,1d,all_directional,0.5172,29,15.0,0.5,2292.0,,,,,
directional_accuracy_by_sector_window,Financials,3d,all_directional,0.3793,29,11.0,0.931977,,,,,,
directional_accuracy_by_sector_window,Financials,5d,all_directional,0.5172,29,15.0,0.5,2292.0,,,,,
directional_accuracy_by_sector_window,Healthcare,1d,all_directional,0.5652,23,13.0,0.33882,162.0,,,,,
directional_accuracy_by_sector_window,Healthcare,3d,all_directional,0.5652,23,13.0,0.33882,162.0,,,,,
directional_accuracy_by_sector_window,Healthcare,5d,all_directional,0.5652,23,13.0,0.33882,162.0,,,,,
directional_accuracy_by_sector_window,Technology,1d,all_directional,0.4167,12,5.0,0.806152,,,,,,
directional_accuracy_by_sector_window,Technology,3d,all_directional,0.4167,12,5.0,0.806152,,,,,,
directional_accuracy_by_sector_window,Technology,5d,all_directional,0.4167,12,5.0,0.806152,,,,,,
hedge_density_distribution,Consumer,all,all_rows,,60,,,,0.8619,0.718,0.5605,,
hedge_density_distribution,Energy,all,all_rows,,46,,,,0.6183,0.571,0.4608,,
hedge_density_distribution,Financials,all,all_rows,,52,,,,0.431,0.2124,0.5039,,
hedge_density_distribution,Healthcare,all,all_rows,,54,,,,0.762,0.6763,0.5318,,
hedge_density_distribution,Technology,all,all_rows,,52,,,,0.6438,0.583,0.404,,
hedge_density_global_test,ALL,all,all_rows,,264,,,,,,,0.000166,3.1e-05
signal_split_accuracy_by_sector_window,Consumer,1d,negative,0.65,20,13.0,0.131588,30.0,,,,,
signal_split_accuracy_by_sector_window,Consumer,3d,negative,0.8,20,16.0,0.005909,11.0,,,,,
signal_split_accuracy_by_sector_window,Consumer,5d,negative,0.7,20,14.0,0.057659,18.0,,,,,
signal_split_accuracy_by_sector_window,Consumer,1d,positive,0.4545,11,5.0,0.725586,,,,,,
signal_split_accuracy_by_sector_window,Consumer,3d,positive,0.5455,11,6.0,0.5,331.0,,,,,
signal_split_accuracy_by_sector_window,Consumer,5d,positive,0.5455,11,6.0,0.5,331.0,,,,,
signal_split_accuracy_by_sector_window,Energy,1d,negative,0.8333,6,5.0,0.109375,8.0,,,,,
signal_split_accuracy_by_sector_window,Energy,3d,negative,0.5,6,3.0,0.65625,,,,,,
signal_split_accuracy_by_sector_window,Energy,5d,negative,0.1667,6,1.0,0.984375,,,,,,
signal_split_accuracy_by_sector_window,Energy,1d,positive,0.2,5,1.0,0.96875,,,,,,
signal_split_accuracy_by_sector_window,Energy,3d,positive,0.6,5,3.0,0.5,71.0,,,,,
signal_split_accuracy_by_sector_window,Energy,5d,positive,0.6,5,3.0,0.5,71.0,,,,,
signal_split_accuracy_by_sector_window,Financials,1d,negative,0.375,8,3.0,0.855469,,,,,,
signal_split_accuracy_by_sector_window,Financials,3d,negative,0.25,8,2.0,0.964844,,,,,,
signal_split_accuracy_by_sector_window,Financials,5d,negative,0.5,8,4.0,0.636719,,,,,,
signal_split_accuracy_by_sector_window,Financials,1d,positive,0.5714,21,12.0,0.331812,141.0,,,,,
signal_split_accuracy_by_sector_window,Financials,3d,positive,0.4286,21,9.0,0.808345,,,,,,
signal_split_accuracy_by_sector_window,Financials,5d,positive,0.5238,21,11.0,0.5,1198.0,,,,,
signal_split_accuracy_by_sector_window,Healthcare,1d,negative,0.6875,16,11.0,0.105057,23.0,,,,,
signal_split_accuracy_by_sector_window,Healthcare,3d,negative,0.6875,16,11.0,0.105057,23.0,,,,,
signal_split_accuracy_by_sector_window,Healthcare,5d,negative,0.625,16,10.0,0.227249,44.0,,,,,
signal_split_accuracy_by_sector_window,Healthcare,1d,positive,0.2857,7,2.0,0.9375,,,,,,
signal_split_accuracy_by_sector_window,Healthcare,3d,positive,0.2857,7,2.0,0.9375,,,,,,
signal_split_accuracy_by_sector_window,Healthcare,5d,positive,0.4286,7,3.0,0.773438,,,,,,
signal_split_accuracy_by_sector_window,Technology,1d,negative,0.6667,3,2.0,0.5,28.0,,,,,
signal_split_accuracy_by_sector_window,Technology,3d,negative,0.3333,3,1.0,0.875,,,,,,
signal_split_accuracy_by_sector_window,Technology,5d,negative,0.3333,3,1.0,0.875,,,,,,
signal_split_accuracy_by_sector_window,Technology,1d,positive,0.3333,9,3.0,0.910156,,,,,,
signal_split_accuracy_by_sector_window,Technology,3d,positive,0.4444,9,4.0,0.746094,,,,,,
signal_split_accuracy_by_sector_window,Technology,5d,positive,0.4444,9,4.0,0.746094,,,,,,
