ticker,call_date,quarter,ew_risk_score,threshold_low,threshold_high,signal,actual_5d,correct
LLY,2025-01-14,2025Q1,47.49,28.02,46.892,NEGATIVE,-0.06913,True
SBUX,2025-01-28,2025Q1,22.36,28.14,46.966,POSITIVE,0.081384,True
MRK,2025-02-04,2025Q1,57.92,27.57,46.9,NEGATIVE,-0.134182,True
LLY,2025-02-06,2025Q1,49.66,27.574,46.988,NEGATIVE,0.03656,False
MDT,2025-02-18,2025Q1,54.64,27.586,47.106,NEGATIVE,-0.028445,True
HD,2025-02-25,2025Q1,65.34,27.59,47.49,NEGATIVE,0.01901,False
NVDA,2025-02-26,2025Q1,24.3,27.652,47.538,POSITIVE,-0.084024,False
TGT,2025-03-04,2025Q1,54.37,27.578,47.526,NEGATIVE,-0.057221,True
ADBE,2025-03-12,2025Q1,23.75,27.582,47.554,POSITIVE,-0.097519,False
GOOGL,2025-03-18,2025Q1,18.64,27.454,47.552,POSITIVE,0.020634,True
META,2025-04-11,2025Q2,3.57,27.106,47.538,POSITIVE,-0.082026,False
GS,2025-04-14,2025Q2,69.83,26.966,47.514,NEGATIVE,0.013996,False
VLO,2025-04-24,2025Q2,48.27,26.99,47.55,NEGATIVE,0.013886,False
MRK,2025-04-24,2025Q2,53.11,26.99,47.55,NEGATIVE,0.082042,False
META,2025-04-30,2025Q2,52.29,27.326,47.702,NEGATIVE,0.059285,False
MSFT,2025-04-30,2025Q2,26.84,27.326,47.702,POSITIVE,0.09966,True
MCD,2025-05-01,2025Q2,68.04,27.074,48.128,NEGATIVE,-0.004755,True
CVX,2025-05-02,2025Q2,58.59,27.41,48.27,NEGATIVE,0.005724,False
EOG,2025-05-16,2025Q2,50.16,27.57,48.4,NEGATIVE,-0.04376,True
HD,2025-05-20,2025Q2,65.73,27.574,49.408,NEGATIVE,-0.02367,True
MDT,2025-05-21,2025Q2,50.95,27.578,49.96,NEGATIVE,-0.059396,True
TGT,2025-05-21,2025Q2,51.76,27.578,49.96,NEGATIVE,-0.022218,True
EOG,2025-05-30,2025Q2,9.79,27.652,50.792,POSITIVE,0.010466,True
JNJ,2025-06-10,2025Q2,18.26,27.578,50.634,POSITIVE,-6.4e-05,False
MS,2025-06-16,2025Q2,8.33,27.538,50.318,POSITIVE,0.034829,True
MDT,2025-06-23,2025Q2,19.78,27.41,50.16,POSITIVE,0.00457,True
SLB,2025-06-24,2025Q2,55.15,27.074,50.06,NEGATIVE,0.002075,False
NKE,2025-06-25,2025Q2,16.67,27.158,50.634,POSITIVE,0.195213,True
NKE,2025-06-26,2025Q2,68.0,26.966,50.476,NEGATIVE,0.255795,False
MS,2025-07-01,2025Q3,12.23,26.978,50.996,POSITIVE,0.001917,True
BLK,2025-07-01,2025Q3,5.46,26.978,50.996,POSITIVE,0.02456,True
COP,2025-07-01,2025Q3,24.09,26.978,50.996,POSITIVE,0.067417,True
ABBV,2025-07-03,2025Q3,20.83,26.846,50.476,POSITIVE,0.022281,True
XOM,2025-07-07,2025Q3,50.69,26.708,50.318,NEGATIVE,0.028788,False
JPM,2025-07-15,2025Q3,15.94,26.84,50.69,POSITIVE,0.007863,True
BLK,2025-07-15,2025Q3,24.17,26.84,50.69,POSITIVE,-0.016591,False
GS,2025-07-16,2025Q3,64.67,25.052,50.478,NEGATIVE,-0.002989,True
BAC,2025-07-16,2025Q3,24.56,25.052,50.478,POSITIVE,0.035103,True
AXP,2025-07-23,2025Q3,6.82,26.444,49.96,POSITIVE,0.014467,True
BAC,2025-07-23,2025Q3,26.25,26.444,49.96,POSITIVE,0.003768,True
UNH,2025-07-29,2025Q3,75.12,26.208,49.156,NEGATIVE,-0.145824,True
SBUX,2025-07-29,2025Q3,55.16,26.208,49.156,NEGATIVE,-0.041529,True
WFC,2025-07-31,2025Q3,10.0,26.486,50.048,POSITIVE,-0.05099,False
UNH,2025-07-31,2025Q3,7.14,26.486,50.048,POSITIVE,-0.076154,False
CVS,2025-07-31,2025Q3,51.51,26.486,50.048,NEGATIVE,0.019583,False
CVX,2025-08-01,2025Q3,55.01,26.222,49.992,NEGATIVE,0.010024,False
MDT,2025-08-19,2025Q3,60.03,26.842,49.836,NEGATIVE,-0.008297,True
HD,2025-08-19,2025Q3,62.19,26.842,49.836,NEGATIVE,0.035977,False
TGT,2025-08-20,2025Q3,52.27,26.846,50.372,NEGATIVE,-0.087794,True
INTC,2025-08-25,2025Q3,4.08,26.848,50.742,POSITIVE,-0.018145,False
NVDA,2025-08-27,2025Q3,21.58,26.84,50.69,POSITIVE,-0.061341,False
JNJ,2025-09-09,2025Q3,24.09,26.486,50.478,POSITIVE,-0.004098,False
ADBE,2025-09-11,2025Q3,26.16,26.236,50.266,POSITIVE,0.034013,True
BAC,2025-09-12,2025Q3,2.95,26.18,50.16,POSITIVE,0.027192,True
INTC,2025-09-18,2025Q3,15.58,26.164,50.104,POSITIVE,0.253815,True
VLO,2025-09-19,2025Q3,12.5,25.2,50.048,POSITIVE,0.06451,True
COST,2025-09-25,2025Q3,55.02,24.508,49.936,NEGATIVE,-0.029547,True
AXP,2025-09-29,2025Q3,6.25,24.88,50.104,POSITIVE,-0.033482,False
NKE,2025-09-30,2025Q3,64.28,24.404,50.048,NEGATIVE,0.023293,False
TSLA,2025-10-02,2025Q4,20.1,24.508,50.266,POSITIVE,-0.045205,False
ABBV,2025-10-03,2025Q4,20.83,24.3,50.16,POSITIVE,-0.024814,False
JPM,2025-10-14,2025Q4,9.14,24.222,50.048,POSITIVE,-0.018216,False
GS,2025-10-14,2025Q4,59.94,24.222,50.048,NEGATIVE,-0.029818,True
BLK,2025-10-14,2025Q4,21.47,24.222,50.048,POSITIVE,0.004225,True
BAC,2025-10-15,2025Q4,21.61,24.122,50.048,POSITIVE,0.028549,True
CRM,2025-10-16,2025Q4,17.14,24.09,49.88,POSITIVE,0.084792,True
TSLA,2025-10-22,2025Q4,21.36,24.09,49.748,POSITIVE,0.040556,True
UNH,2025-10-28,2025Q4,58.02,24.09,49.538,NEGATIVE,-0.087956,True
CVS,2025-10-29,2025Q4,59.87,24.09,49.792,NEGATIVE,-0.050122,True
META,2025-10-29,2025Q4,50.01,24.09,49.792,NEGATIVE,-0.165176,True
VLO,2025-10-29,2025Q4,5.56,24.09,49.792,POSITIVE,-0.001358,False
SBUX,2025-10-29,2025Q4,56.29,24.09,49.792,NEGATIVE,-0.068243,True
LLY,2025-10-30,2025Q4,52.26,24.09,50.04,NEGATIVE,0.138016,False
MRK,2025-10-30,2025Q4,54.76,24.09,50.04,NEGATIVE,-0.025295,True
SBUX,2025-11-03,2025Q4,16.6,24.196,50.13,POSITIVE,0.058118,True
MPC,2025-11-04,2025Q4,12.98,24.122,50.1,POSITIVE,0.002911,True
INTC,2025-11-12,2025Q4,4.17,24.138,49.932,POSITIVE,-0.093717,False
CRM,2025-11-18,2025Q4,2.78,24.09,49.906,POSITIVE,-0.043075,False
HD,2025-11-18,2025Q4,59.43,24.09,49.906,NEGATIVE,-0.059911,True
MDT,2025-11-18,2025Q4,53.4,24.09,49.906,NEGATIVE,0.071874,False
CVS,2025-11-20,2025Q4,14.9,24.09,50.04,POSITIVE,0.04324,True
NKE,2025-12-02,2025Q4,2.5,24.09,50.01,POSITIVE,-0.028292,False
WFC,2025-12-12,2025Q4,6.25,24.09,49.86,POSITIVE,-0.011988,False
MPC,2025-12-18,2025Q4,9.8,24.022,49.8,POSITIVE,-0.050258,False
NKE,2025-12-18,2025Q4,62.47,24.022,49.8,NEGATIVE,-0.086619,True
C,2025-12-29,2025Q4,0.0,23.818,49.86,POSITIVE,0.023916,True
BAC,2026-01-06,2026Q1,0.0,23.194,49.82,POSITIVE,-0.029882,False
ABBV,2026-01-07,2026Q1,20.0,22.276,49.8,POSITIVE,-0.014201,False
C,2026-01-12,2026Q1,0.0,22.024,49.756,POSITIVE,-0.027036,False
C,2026-01-14,2026Q1,58.3,21.848,49.708,NEGATIVE,-0.02098,True
GS,2026-01-15,2026Q1,61.9,21.99,49.756,NEGATIVE,0.023567,False
BLK,2026-01-15,2026Q1,18.51,21.99,49.756,POSITIVE,0.043843,True
MS,2026-01-15,2026Q1,51.25,21.99,49.756,NEGATIVE,0.012557,False
UNH,2026-01-27,2026Q1,51.18,22.14,49.8,NEGATIVE,-0.187834,True
BLK,2026-01-27,2026Q1,0.0,22.14,49.8,POSITIVE,-0.001676,False
SBUX,2026-01-28,2026Q1,53.44,21.99,49.86,NEGATIVE,-0.027998,True
TSLA,2026-01-28,2026Q1,14.22,21.99,49.86,POSITIVE,-0.020747,False
VLO,2026-01-29,2026Q1,50.78,21.94,49.88,NEGATIVE,0.072764,False
MRK,2026-02-03,2026Q1,53.07,22.19,49.88,NEGATIVE,0.037752,False
C,2026-02-03,2026Q1,0.0,22.19,49.88,POSITIVE,0.064871,True
CVS,2026-02-10,2026Q1,60.77,22.36,49.78,NEGATIVE,0.032071,False
TGT,2026-02-11,2026Q1,0.0,22.916,49.84,POSITIVE,0.031849,True
C,2026-02-12,2026Q1,0.0,22.326,49.8,POSITIVE,-0.015674,False
MDT,2026-02-17,2026Q1,60.64,22.19,49.78,NEGATIVE,-0.008845,True
JPM,2026-02-23,2026Q1,0.0,22.224,49.86,POSITIVE,-0.033753,False
HD,2026-02-24,2026Q1,62.71,22.04,49.84,NEGATIVE,-0.016393,True
WFC,2026-02-25,2026Q1,13.9,22.14,49.906,POSITIVE,-0.024122,False
AMZN,2026-02-27,2026Q1,6.26,22.04,49.84,POSITIVE,0.053001,True
INTC,2026-03-03,2026Q1,9.13,21.894,49.8,POSITIVE,0.001758,True
COST,2026-03-05,2026Q1,60.65,21.756,49.756,NEGATIVE,-0.014413,True
